,NMOS width,PMOS width,Temperature,VDD,Switching point voltage high,Switching point voltage low
404,350,250,-4.111516713,250,0.772371531,0.305281729
405,50,350,89.24766969,350,0.595625639,0.260129213
406,500,800,-31.68617509,800,0.854514003,0.248623103
407,300,250,13.23219832,250,0.721836448,0.260250598
408,150,450,31.17219461,450,0.631383061,0.203225672
409,300,150,89.04316926,150,0.773242116,0.377355665
410,150,650,38.67496597,650,0.722475171,0.253663421
411,150,750,-40.24748666,750,0.673252881,0.195275828
412,100,500,106.5182833,500,0.647202253,0.279335946
413,350,550,138.0672293,550,0.713285446,0.248205274
414,400,1000,-44.22029568,1000,0.764566958,0.16223526
415,100,300,51.75625096,300,0.674332082,0.34373486
416,400,1000,66.23812993,1000,0.766100705,0.161996245
417,350,200,0.000628485,200,0.764767885,0.329656482
418,50,950,-10.84350634,950,0.654686928,0.207694665
419,300,250,137.4534224,250,0.722612023,0.294740945
420,50,600,99.64306398,600,0.621028185,0.260318518
421,450,950,-42.66773358,950,0.798889995,0.201455802
422,150,200,-11.61646769,200,0.722181976,0.381886542
423,350,950,58.21879695,950,0.79765296,0.24159047
424,100,300,-39.95522206,300,0.63555342,0.25369662
425,350,150,50.93942748,150,0.798731923,0.382594913
426,150,500,108.2425606,500,0.647253752,0.232808769
427,350,900,42.03466476,900,0.797599077,0.248458058
428,300,50,-15.95637864,50,0.696541905,0.285003006
429,300,450,-21.16659231,450,0.771259189,0.276195824
430,350,700,17.49194464,700,0.736411691,0.18537876
431,450,500,40.13265436,500,0.764725447,0.229046926
432,200,50,78.40542207,50,0.726621509,0.422160149
433,300,850,48.08458493,850,0.772661448,0.218021378
434,100,650,-49.8815103,650,0.689528108,0.260824651
435,200,1000,-40.23951307,1000,0.72174257,0.162223518
436,450,600,28.05025797,600,0.806806147,0.258681387
437,350,250,43.26676863,250,0.709579945,0.253362477
438,400,200,83.73887525,200,0.7692976,0.334658504
439,400,600,15.68170391,600,0.765895903,0.203952253
440,400,50,-18.16283097,50,0.709534645,0.285037994
441,150,850,-56.91266025,850,0.673187196,0.160525978
442,300,600,4.20373625,600,0.726805985,0.21119757
443,200,100,-56.12325956,100,0.722094178,0.344523847
444,50,400,-36.01474673,400,0.612029493,0.233934522
445,100,700,-2.307537694,700,0.657094896,0.204082578
446,400,300,67.06798209,300,0.765892208,0.277454436
447,150,800,79.49874711,800,0.704816461,0.217907056
448,150,450,128.3392939,450,0.673161924,0.279292703
449,350,150,129.7224327,150,0.72691226,0.336033881
450,150,400,99.97316211,400,0.701253653,0.327174485
451,100,100,-59.3285244,100,0.646048903,0.337498009
452,300,100,-39.64322916,100,0.768067837,0.371239841
453,500,400,92.60663825,400,0.762670517,0.246100947
454,500,850,40.97851172,850,0.772907436,0.179222763
455,100,50,123.279168,50,0.635656118,0.393262863
456,100,600,135.4893236,600,0.625923157,0.217704207
457,50,950,-12.2534355,950,0.657182932,0.220723525
458,300,300,84.45201397,300,0.701484442,0.252985269
459,300,750,105.6933426,750,0.714620054,0.203157455
460,400,400,52.9432863,400,0.765923738,0.253107011
461,50,800,110.7473109,800,0.654661536,0.269485414
462,200,500,105.064912,500,0.663877547,0.23054418
463,300,500,41.30123081,500,0.704934716,0.185267985
464,200,100,63.68790798,100,0.704696715,0.337233722
465,300,900,-35.85859607,900,0.765717208,0.195418417
466,300,250,134.1914923,250,0.721903384,0.28527993
467,150,950,123.2414154,950,0.714513063,0.229056075
468,200,250,-32.21271906,250,0.701166749,0.301759839
469,100,300,75.39378147,300,0.601289034,0.232804999
470,250,850,33.60317465,850,0.752835274,0.207476228
471,150,50,-42.66622943,50,0.652175546,0.329414397
472,50,550,78.40570662,550,0.664895773,0.285565913
473,150,300,-31.86274955,300,0.700166464,0.334757715
474,100,600,117.4503519,600,0.647207856,0.269430608
